"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"Abstract and Applied Analysis";24087;0,173169428113308;"10853375";"16870409";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Acta Applicandae Mathematicae";24099;0,614942528735632;"01678019";"15729036";"NO Top 10%";6;1;0;"NO Bottom 20%"
"Acta Arithmetica";24100;0,522330097087379;"00651036";"17306264";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Acta Mathematica";24527;3,98461538461538;"00015962";"18712509";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Acta Mathematica Hungarica";24529;0,462121212121212;"02365294";"15882632";"NO Top 10%";"NO 10% - 35%";3;1;0
"Acta Mathematica Scientia";24531;0,480499219968799;"02529602";"15729087";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Acta Mathematica Sinica, English Series";24533;0,40922619047619;"14398516";"14397617";"NO Top 10%";"NO 10% - 35%";4;1;0
"Acta Mathematica Universitatis Comenianae";76019;0,129496402877698;"08629544";"13360310";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Acta Mathematica Vietnamica";21100199843;0,384615384615385;"02514184";0;"NO Top 10%";"NO 10% - 35%";4;1;0
"Acta Scientiarum Mathematicarum";19700180901;0,451456310679612;"00016969";0;"NO Top 10%";"NO 10% - 35%";3;1;0
"Advanced Nonlinear Studies";75561;1,33466135458167;"15361365";"21690375";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advanced Studies in Contemporary Mathematics (Kyungshang)";10600153363;0,285714285714286;"12293067";"25087908";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Advances in Applied Mathematics";24556;0,778481012658228;"01968858";"10902074";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Advances in Applied Mathematics and Mechanics";21100201017;0,454838709677419;"20700733";"20751354";"NO Top 10%";"NO 10% - 35%";3;1;0
"Advances in Applied Probability";24568;0,544303797468354;"00018678";"14756064";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Advances in Calculus of Variations";21100199330;1,0752688172043;"18648258";"18648266";6;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Difference Equations";4000149605;0,420722135007849;"16871839";"16871847";"NO Top 10%";"NO 10% - 35%";3;1;0
"Advances in Differential Equations";21100256955;1,12903225806452;"10799389";0;4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Geometry";24569;0,51980198019802;"1615715X";"16157168";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Advances in Mathematical Physics";19900192029;0,158645276292335;"16879120";"16879139";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Advances in Mathematics";24570;1,65162644281217;"00018708";"10902082";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Nonlinear Analysis";21100403505;2,0546875;"21919496";"2191950X";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Nonlinear Variational Inequalities";11200153302;0,148648648648649;"1092910X";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Advances in Pure and Applied Mathematics";21100199335;0,232142857142857;"18671152";"18696090";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Advances in Theoretical and Mathematical Physics";9500154114;1,06666666666667;"10950761";"10950753";6;1;0;"NO 60% - 80%";"NO Bottom 20%"
"American Journal of Mathematics";24654;1,68831168831169;"00029327";"10806377";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"American Mathematical Monthly";24656;0,233024691358025;"00029890";"19300972";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Matematica";19700175303;0,100401606425703;"12218421";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";6;0
"Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica";19700175586;0,225563909774436;"12241784";"18440835";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
