"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"AStA Advances in Statistical Analysis";11800154594;0,0825688073394495;"18638171";"1863818X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Acta Mathematica";24527;3,98461538461538;"00015962";"18712509";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Acta Mathematica Sinica, English Series";24533;0,40922619047619;"14398516";"14397617";"NO Top 10%";5;1;0;"NO Bottom 20%"
"Advances in Applied Probability";24568;0,544303797468354;"00018678";"14756064";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Advances in Data Analysis and Classification";5200152822;0,106918238993711;"18625347";"18625355";"NO Top 10%";"NO 10% - 35%";14;2;0
"Advances in Decision Sciences";19900193531;0;"20903359";"20903367";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";8;0
"Advances in Fuzzy Systems";17600155013;0,0256410256410256;"16877101";"1687711X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"Alea";21100231200;0,741784037558686;"19800436";0;9;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Analysis and Mathematical Physics";21100400176;0,72992700729927;"16642368";"1664235X";10;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Annales Henri Poincare";27000;1,0680412371134;"14240637";"14240661";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annales de l'institut Henri Poincare (B) Probability and Statistics";23212;1,31182795698925;"02460203";0;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annali della Scuola normale superiore di Pisa - Classe di scienze";4700151702;1,06614785992218;"0391173X";"20362145";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annali di Matematica Pura ed Applicata";6200180175;1,0081466395112;"03733114";"16181891";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annals of Applied Probability";24710;1,61316872427984;"10505164";0;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annals of Applied Statistics";21100211345;0,23679060665362;"19326157";"19417330";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Annals of Functional Analysis";21100286971;0,401486988847584;"20088752";"20088752";"NO Top 10%";5;1;0;"NO Bottom 20%"
"Annals of Mathematics";24721;5,25358851674641;"0003486X";"19398980";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annals of Operations Research";23090;0,0954169797145003;"02545330";"15729338";"NO Top 10%";"NO 10% - 35%";34;2;0
"Annals of Probability";24724;2,47845804988662;"00911798";0;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annals of Statistics";13649;2,09861932938856;"00905364";0;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annals of the Institute of Statistical Mathematics";23213;0,282511210762332;"00203157";"15729052";"NO Top 10%";13;2;0;"NO Bottom 20%"
"Applied Mathematical Finance";25165;0,294117647058823;"1350486X";"14664313";"NO Top 10%";11;1;0;"NO Bottom 20%"
"Applied Mathematical Modelling";28065;0,306138009912314;"0307904X";0;"NO Top 10%";8;1;0;"NO Bottom 20%"
"Applied Mathematics Letters";25184;1,21183533447684;"08939659";"18735452";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Applied Mathematics and Computation";25170;0,605943415428455;"00963003";"18735649";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Applied Mathematics and Optimization";25179;1,13397129186603;"00954616";"14320606";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Applied Stochastic Models in Business and Industry";25195;0,074792243767313;"15241904";"15264025";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Applied and Computational Harmonic Analysis";25150;1,34385964912281;"10635203";"1096603X";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Archive for Rational Mechanics and Analysis";25208;2,53433835845896;"00039527";"14320673";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti Lincei Matematica E Applicazioni";24096;1,03592814371258;"11206330";"17200768";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Australian and New Zealand Journal of Statistics";28426;0,0592592592592592;"13691473";"1467842X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Bayesian Analysis";19900191610;0,371900826446281;"19360975";"19316690";"NO Top 10%";6;1;0;"NO Bottom 20%"
"Bernoulli";4700152871;1,08651911468813;"13507265";0;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Biological Cybernetics";17953;0,0530973451327433;"03401200";"14320770";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Biometrics";28861;0,211180124223602;"0006341X";"15410420";"NO Top 10%";"NO 10% - 35%";3;1;0
"Biometrika";15049;0,803713527851459;"00063444";"14643510";6;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Bolletino dell Unione Matematica Italiana";11300153723;0,5;"19726724";"21982759";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Brazilian Journal of Probability and Statistics";19900192736;0,167539267015707;"01030752";0;"NO Top 10%";"NO 10% - 35%";4;1;0
"Bulletin of Mathematical Biology";13845;0,652094717668488;"00928240";"15229602";30;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Chaos, Solitons and Fractals";25347;0,232662192393736;"09600779";0;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Colloquium Mathematicum";21100199542;0,400932400932401;"00101354";"17306302";"NO Top 10%";5;1;0;"NO Bottom 20%"
"Communications in Mathematical Physics";27437;1,62482065997131;"00103616";"14320916";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Communications in Nonlinear Science and Numerical Simulation";25807;0,509752925877763;"10075704";0;"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Communications in Partial Differential Equations";25812;1,7816091954023;"03605302";"15324133";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Communications in Statistics - Theory and Methods";28921;0,0659959758551307;"03610926";"1532415X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Communications in Statistics Part B: Simulation and Computation";23526;0,0362811791383219;"03610918";"15324141";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Communications on Pure and Applied Analysis";145649;0,929447852760736;"15340392";"15535258";5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Communications on Pure and Applied Mathematics";25820;3,43461538461538;"00103640";"10970312";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Communications on Stochastic Analysis";21100826265;0,316129032258064;"09739599";"26886669";"NO Top 10%";8;1;0;"NO Bottom 20%"
"Comptes Rendus Mathematique";24095;0,636363636363636;"1631073X";"17783569";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Computational Biology and Chemistry";24599;0,0256410256410256;"14769271";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"Computational Mathematics and Mathematical Physics";4700152491;0,145121951219512;"09655425";"15556662";"NO Top 10%";"NO 10% - 35%";5;1;0
"Computational Mathematics and Modeling";144954;0,0704225352112676;"1046283X";"1573837X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Computational Methods in Applied Mathematics";19700201409;1,00537634408602;"16094840";"16099389";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Computational Statistics";28930;0,109375;"09434062";"16139658";"NO Top 10%";"NO 10% - 35%";12;2;0
"Computational Statistics and Data Analysis";28461;0,210958904109589;"01679473";0;"NO Top 10%";"NO 10% - 35%";3;1;0
"Computational and Mathematical Methods in Medicine";11000153760;0,105590062111801;"1748670X";"17486718";"NO Top 10%";"NO 10% - 35%";16;2;0
"Computers and Mathematics with Applications";28468;1,16640253565769;"08981221";0;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Decision Analysis";19700186711;0,0821917808219178;"15458490";"15458504";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Decisions in Economics and Finance";145412;0,0612244897959183;"15938883";"11296569";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Dependence Modeling";21100855508;0,280487804878049;0;"23002298";"NO Top 10%";14;2;0;"NO Bottom 20%"
"Differential Equations and Dynamical Systems";19700171105;0,183098591549296;"09713514";"09746870";"NO Top 10%";"NO 10% - 35%";4;1;0
"Discrete and Continuous Dynamical Systems";75869;1,12180746561886;"10780947";"15535231";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Discrete and Continuous Dynamical Systems - Series S";21100207001;0,54176072234763;"19371632";"19371179";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Distributed Computing";24907;0,776859504132231;"01782770";"14320452";8;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Dynamic Games and Applications";19700177406;0,625766871165644;"21530785";"21530793";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Dynamics of Partial Differential Equations";10700153303;1,01190476190476;"1548159X";"21637873";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"ESAIM - Control, Optimisation and Calculus of Variations";25955;1,10932475884244;"12928119";"12623377";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"ESAIM - Probability and Statistics";25957;0,50354609929078;"12928100";"12623318";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"East Asian Journal on Applied Mathematics";21100287116;0,571428571428571;"20797362";"20797370";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
