"Source Title";"Scopus Source ID";"SJR";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"Journal of the Operations Research Society of Japan";22303;0,255;"04534514";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";6;0
"Logistics Journal";4700152816;0,113;"18607977";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Logistics Research";19400158510;0,489;"1865035X";"18650368";"NO Top 10%";"NO 10% - 35%";14;1;0
"Management Science";21307;5,439;"00251909";"15265501";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Management and Production Engineering Review";21100457058;0,358;"20808208";"20821344";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Maritime Economics and Logistics";26249;0,814;"14792931";"1479294X";"NO Top 10%";6;1;0;"NO Bottom 20%"
"Mathematical Methods of Operations Research";21805;0,769;"14322994";"14325217";"NO Top 10%";9;2;0;"NO Bottom 20%"
"Mathematical Programming";28512;3,082;"00255610";"14364646";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Mathematical Programming Computation";19400158592;1,79;"18672949";"18672957";6;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Mathematics";21100830702;0,299;0;"22277390";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Mathematics of Operations Research";22140;1,727;"0364765X";"15265471";6;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Memetic Computing";17400154829;0,838;"18659284";"18659292";"NO Top 10%";5;1;0;"NO Bottom 20%"
"Military Operations Research";145594;0,118;"02755823";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Naval Research Logistics";15961;0,602;"0894069X";"15206750";"NO Top 10%";"NO 10% - 35%";5;0;"NO Bottom 20%"
"Networks";28535;0,835;"00283045";"10970037";"NO Top 10%";5;1;0;"NO Bottom 20%"
"Networks and Spatial Economics";144945;1,227;"1566113X";"15729427";12;2;0;"NO 60% - 80%";"NO Bottom 20%"
"Neural Computing and Applications";24800;0,796;"09410643";"14333058";"NO Top 10%";7;1;0;"NO Bottom 20%"
"Nonlinear Analysis, Theory, Methods and Applications";13249;1,848;"0362546X";0;6;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Nuclear Technology";29092;0,554;"00295450";"19437471";"NO Top 10%";"NO 10% - 35%";8;1;0
"Numerical Algebra, Control and Optimization";21100283718;0,357;"21553289";"21553297";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Numerical Algorithms";25708;1,143;"10171398";"15729265";20;2;0;"NO 60% - 80%";"NO Bottom 20%"
"Numerical Functional Analysis and Optimization";25710;0,547;"01630563";"15322467";"NO Top 10%";"NO 10% - 35%";8;1;0
"Numerical Mathematics";19900193816;0,723;"10048979";"20797338";"NO Top 10%";17;2;0;"NO Bottom 20%"
"Numerische Mathematik";28536;1,934;"0029599X";"09453245";5;1;0;"NO 60% - 80%";"NO Bottom 20%"
"OPSEARCH";19700181204;0,357;"00303887";"09750320";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Omega";21915;2,579;"03050483";0;4;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Operational Research";14500154733;0,67;"11092858";"18661505";"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Operations Management Research";15700154705;1,231;"19369735";"19369743";11;2;0;"NO 60% - 80%";"NO Bottom 20%"
