"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"Discrete and Computational Geometry";25887;0,621559633027523;"01795376";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Discussiones Mathematicae - Graph Theory";19700180503;0,416666666666667;"12343099";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Dissertationes Mathematicae";21100199568;0,902439024390244;"00123862";;4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Documenta Mathematica";145273;0,962962962962963;"14310635";;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Doklady Mathematics";25924;0,297082228116711;"10645624";;"NO Top 10%";"NO 10% - 35%";3;1;0
"Duke Mathematical Journal";25936;2,76119402985075;"00127094";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"EMS Surveys in Mathematical Sciences";21100976772;3,3448275862069;"23082151";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Electronic Journal of Combinatorics";26389;0,622493461203139;"10778926";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Electronic Journal of Linear Algebra";26394;0,429967426710098;"10813810";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Epijournal de Geometrie Algebrique";21100920134;0,730769230769231;0;;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Eurasian Mathematical Journal";21100336501;0,168831168831169;"20779879";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"European Journal of Combinatorics";26445;0,756462585034014;"01956698";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"European Journal of Mathematics";21100446931;0,542222222222222;"2199675X";;"NO Top 10%";4;0;"NO 60% - 80%";"NO Bottom 20%"
"Experimental Mathematics";26448;0,580487804878049;"10586458";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Expositiones Mathematicae";26451;0,6875;"07230869";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Filomat";19900192450;0,301587301587301;"03545180";;"NO Top 10%";"NO 10% - 35%";3;1;0
"Finite Fields and Their Applications";26480;0,947058823529412;"10715797";;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Forum Mathematicum";26488;0,740740740740741;"09337741";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Forum of Mathematics, Pi";21100887442;4,48;0;;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Forum of Mathematics, Sigma";21100886430;1,5;0;;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Fractals";28472;0,225490196078431;"0218348X";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Frontiers of Mathematics in China";4700152629;0,534606205250597;"16733452";;"NO Top 10%";4;0;"NO 60% - 80%";"NO Bottom 20%"
"Functiones et Approximatio, Commentarii Mathematici";21100284506;0,343915343915344;"02086573";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Fundamental and Applied Mathematics";19900191977;0,138790035587189;"15605159";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Geometriae Dedicata";26578;0,61569416498994;"00465755";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Geometric and Functional Analysis";26580;2,27149321266968;"1016443X";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Geometry and Topology";26582;1,84239130434783;"14653060";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
