"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali";21100199540;0,136363636363636;"03650359";"18251242";"NO Top 10%";"NO 10% - 35%";6;2;0
"Acta Applicandae Mathematicae";24099;0,614942528735632;"01678019";"15729036";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Acta Mathematica";24527;3,98461538461538;"00015962";"18712509";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Acta Mechanica";19747;0,0953253895508707;"00015970";"16196937";"NO Top 10%";"NO 10% - 35%";12;3;0
"Advances in Applied Clifford Algebras";4900152804;0,170081967213115;"01887009";"16614909";"NO Top 10%";"NO 10% - 35%";4;1;0
"Advances in Applied Mathematics";24556;0,778481012658228;"01968858";"10902074";27;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Advances in Applied Mathematics and Mechanics";21100201017;0,454838709677419;"20700733";"20751354";"NO Top 10%";3;1;0;"NO Bottom 20%"
"Advances in Difference Equations";4000149605;0,420722135007849;"16871839";"16871847";"NO Top 10%";4;1;0;"NO Bottom 20%"
"Advances in Differential Equations";21100256955;1,12903225806452;"10799389";0;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Mathematical Physics";19900192029;0,158645276292335;"16879120";"16879139";"NO Top 10%";"NO 10% - 35%";4;1;0
"Advances in Mathematics";24570;1,65162644281217;"00018708";"10902082";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Theoretical and Mathematical Physics";9500154114;1,06666666666667;"10950761";"10950753";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"American Journal of Mathematics";24654;1,68831168831169;"00029327";"10806377";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"American Mathematical Monthly";24656;0,233024691358025;"00029890";"19300972";"NO Top 10%";10;2;1;0
"Analysis and Applications";19700172204;1,0188679245283;"02195305";"17936861";5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Analysis and Mathematical Physics";21100400176;0,72992700729927;"16642368";"1664235X";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Analysis and PDE";21100242249;1,9486301369863;"21575045";"1948206X";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
