"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"ACM Communications in Computer Algebra";21100198457;0,114285714285714;"19322232";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"ACM Transactions on Computational Logic";23051;0,520958083832335;"15293785";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"ACM Transactions on Mathematical Software";18120;1,07738095238095;"00983500";;10;1;0;"NO 60% - 80%";"NO Bottom 20%"
"ACM Transactions on Modeling and Computer Simulation";23054;0,214285714285714;"10493301";;"NO Top 10%";"NO 10% - 35%";24;2;0
"ANZIAM Journal";4700152860;0,134328358208955;"14461811";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Acta Applicandae Mathematicae";24099;0,614942528735632;"01678019";;"NO Top 10%";6;1;0;"NO Bottom 20%"
"Acta Mathematica";24527;3,98461538461538;"00015962";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Acta Mathematica Hungarica";24529;0,462121212121212;"02365294";;"NO Top 10%";"NO 10% - 35%";3;1;0
"Acta Numerica";24535;7,82758620689655;"09624929";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Computational Mathematics";28041;1,1461038961039;"10197168";;5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Difference Equations";4000149605;0,420722135007849;"16871839";;"NO Top 10%";"NO 10% - 35%";3;1;0
"Advances in Differential Equations";21100256955;1,12903225806452;"10799389";;6;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Fuzzy Systems";17600155013;0,0256410256410256;"16877101";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";10;0
"Algorithms";21100199795;0,107728337236534;"19994893";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Analysis and PDE";21100242249;1,9486301369863;"21575045";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annales Polonici Mathematici";20900195109;0,397260273972603;"00662216";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Annali di Matematica Pura ed Applicata";6200180175;1,0081466395112;"03733114";;44;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Annals of Mathematics";24721;5,25358851674641;"0003486X";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Applicable Analysis";25142;0,668304668304668;"00036811";;"NO Top 10%";4;1;0;"NO Bottom 20%"
"Applied Mathematical Modelling";28065;0,306138009912314;"0307904X";;"NO Top 10%";"NO 10% - 35%";6;1;0
"Applied Mathematics Letters";25184;1,21183533447684;"08939659";;5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Applied Mathematics and Computation";25170;0,605943415428455;"00963003";;"NO Top 10%";7;1;0;"NO Bottom 20%"
"Applied Mathematics and Information Sciences";21100197928;0,159223300970874;"19350090";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Applied Mathematics and Optimization";25179;1,13397129186603;"00954616";;6;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Applied Numerical Mathematics";28067;1,03793626707132;"01689274";;14;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Applied and Computational Harmonic Analysis";25150;1,34385964912281;"10635203";;4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Archive for Rational Mechanics and Analysis";25208;2,53433835845896;"00039527";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti Lincei Matematica E Applicazioni";24096;1,03592814371258;"11206330";;16;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Automation and Remote Control";24950;0,0558510638297872;"00051179";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"BIT Numerical Mathematics";27856;1,09293680297398;"00063835";;9;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Bolletino dell Unione Matematica Italiana";11300153723;0,5;"19726724";;"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Bulletin of Mathematical Biology";13845;0,652094717668488;"00928240";;"NO Top 10%";4;1;0;"NO Bottom 20%"
"CAD Computer Aided Design";18145;0,633333333333333;"00104485";;"NO Top 10%";5;1;0;"NO Bottom 20%"
"CMES - Computer Modeling in Engineering and Sciences";28642;0,184873949579832;"15261492";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering";28454;0,0303030303030303;"03321649";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";9;0
"Calcolo";25307;0,914798206278027;"00080624";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Chinese Annals of Mathematics. Series B";25348;0,400584795321637;"02529599";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Combinatorica";25785;1,2;"02099683";;5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Communications in Applied and Industrial Mathematics";21100455428;0,310344827586207;0;;"NO Top 10%";"NO 10% - 35%";6;1;0
"Communications in Computational Physics";10600153306;1,01013513513514;"18152406";;28;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Communications in Mathematical Analysis";19900191622;0,0879120879120879;"19389787";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Communications in Mathematical Sciences";5600157640;1,11279826464208;"15396746";;7;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Communications in Nonlinear Science and Numerical Simulation";25807;0,509752925877763;"10075704";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Communications on Pure and Applied Analysis";145649;0,929447852760736;"15340392";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Communications on Pure and Applied Mathematics";25820;3,43461538461538;"00103640";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Complex Analysis and Operator Theory";5700165206;0,511578947368421;"16618254";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Complex Variables and Elliptic Equations";17900156742;0,557142857142857;"17476933";;"NO Top 10%";14;2;0;"NO Bottom 20%"
"Comptes Rendus Mathematique";24095;0,636363636363636;"1631073X";;"NO Top 10%";5;1;0;"NO Bottom 20%"
"Computational Biology and Chemistry";24599;0,0256410256410256;"14769271";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";10;0
"Computational Complexity";28455;0,353535353535353;"10163328";;"NO Top 10%";"NO 10% - 35%";5;1;0
"Computational Geometry: Theory and Applications";28456;0,52851711026616;"09257721";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Computational Geosciences";24501;0,642458100558659;"14200597";;"NO Top 10%";5;1;0;"NO Bottom 20%"
"Computational Intelligence";23737;0,0171428571428571;"08247935";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";13;0
"Computational Mathematics and Mathematical Physics";4700152491;0,145121951219512;"09655425";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Computational Mathematics and Modeling";144954;0,0704225352112676;"1046283X";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Computational Mechanics";28457;1,46440129449838;"01787675";;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Computational Methods in Applied Mathematics";19700201409;1,00537634408602;"16094840";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Computational Optimization and Applications";28459;1,00445434298441;"09266003";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Computational Statistics";28930;0,109375;"09434062";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Computational Statistics and Data Analysis";28461;0,210958904109589;"01679473";;"NO Top 10%";"NO 10% - 35%";32;2;0
"Computational and Applied Mathematics";5000153703;0,284431137724551;"22383603";;"NO Top 10%";"NO 10% - 35%";9;2;0
"Computational and Mathematical Methods in Medicine";11000153760;0,105590062111801;"1748670X";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Computer Aided Geometric Design";24998;0,5625;"01678396";;"NO Top 10%";12;2;0;"NO Bottom 20%"
"Computer Methods in Applied Mechanics and Engineering";18158;2,29275808936826;"00457825; 03742830";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Computers and Fluids";18160;0,762928139691068;"00457930";;"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Computers and Graphics";25028;0;"00978493";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";14;0
"Computers and Mathematics with Applications";28468;1,16640253565769;"08981221";;5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Computing (Vienna/New York)";24407;0,0666666666666666;"0010485X";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
